HIP ID,aim_parent_company_id,aim_brand_company_id,isin,HIP_industry,aim_category,parent_name,brand_name,display_name,hip_rating_currently_unavailable,hip_score (reference),earth_score (reference),legal_judgments,lobbying,board_diversity,decision_making,metrics,ceo_comp_to_employee_comp,employee_access_to_stock_options,employee_access_to_retirement_plan,employee_pay_salary,employee_pay_hourly,job_safety,hrc_score,supplier_sourcing__social_impact,women_employees,women_managers,employee_satisfaction,employee_retention,third_party_certifications__workforce_related,customer_satisfaction,community_development_investment,board_racial_diversity,management_racial_diversity,overall_racial_diversity,product__service__impact_on_people_AIM CATEGORY,HIP_industry,aim_category,display_name,energy_efficiency,ghg_emissions_scope1&2,ghg_emissions_scope3,waste_production,water_usage,carbon_reductions,renewable_power_usage,supplier_sourcing__environmental_impact,third_party_certifications__environment,product__service__impact_on_planet_AIM CATEGORY,hip_reporting
175,222,235,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Delta Hotels,Delta Hotels,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Delta Hotels,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
177,222,236,US5719032022,Hotels,Hotel - Destination/Vacation,MARRIOTT INTL.'A',Marriott Vacation Club (MVC),Marriott Vacation Club,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,81%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,80%,Hotels,Hotel - Destination/Vacation,Marriott Vacation Club,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
178,222,237,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Sheraton,Sheraton,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Sheraton,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
179,222,238,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Autograph Collection,Autograph Collection,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,48%,74%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Autograph Collection,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
180,222,239,US5719032022,Hotels,Hotel - Luxury,MARRIOTT INTL.'A',Design Hotels,Design,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,48%,74%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,80%,Hotels,Hotel - Luxury,Design,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
181,222,240,US5719032022,Hotels,Hotel - Destination/Vacation,MARRIOTT INTL.'A',Gaylord Hotels,Gaylord Hotels,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,80%,Hotels,Hotel - Destination/Vacation,Gaylord Hotels,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
182,222,241,US5719032022,Hotels,Hotel - Luxury,MARRIOTT INTL.'A',Le Méridien,Le Méridien,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,80%,Hotels,Hotel - Luxury,Le Méridien,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
183,0,0,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Renaissance Hotels,Renaissance,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,100%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Renaissance,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
184,222,243,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Tribute Portfolio,Tribute Portfolio,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,48%,74%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Tribute Portfolio,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
185,222,244,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Westin,Westin,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Westin,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
186,222,245,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',AC Hotels,AC Hotels,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,AC Hotels,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
187,222,246,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Aloft Hotels,Aloft,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Aloft,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
188,222,247,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Moxy Hotels,Moxy,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Moxy,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
189,222,248,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Marriott Executive Apartments,Marriott Executive Apartments,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,48%,74%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Marriott Executive Apartments,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
190,222,249,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Residence Inn by Marriott,Residence Inn by Marriott,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Residence Inn by Marriott,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
191,222,250,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',TownePlace Suites by Marriott,TownePlace Suites by Marriott,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,67%,0%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,TownePlace Suites by Marriott,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
192,222,251,US5719032022,Hotels,Hotel - Midscale,MARRIOTT INTL.'A',Element by Westin,Element by Westin,n,59%,37%,0%,23%,63%,96%,57%,84%,83%,63%,48%,74%,44%,100%,70%,90%,90%,94%,55%,0%,90%,88%,0%,0%,71%,75%,Hotels,Hotel - Midscale,Element by Westin,40%,31%,0%,95%,42%,58%,10%,69%,4%,45%,91%
193,222,252,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,DOUBLETREE,DoubleTree,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,0%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,DoubleTree,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
194,253,254,US43300A2033,Hotels,Hotel - Luxury,HILTON WORLDWIDE HDG.,Conrad Hotels & Resorts,Conrad,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,0%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,80%,Hotels,Hotel - Luxury,Conrad,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
195,253,255,US43300A2033,Hotels,Hotel - Luxury,HILTON WORLDWIDE HDG.,Waldorf Astoria Hotels and Resorts,Waldorf Astoria,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,0%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,80%,Hotels,Hotel - Luxury,Waldorf Astoria,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
196,253,256,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,Hilton Hotels & Resorts,Hilton,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,64%,54%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,Hilton,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
198,253,257,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,Embassy Suites by Hilton,Embassy Suites By Hilton,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,94%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,Embassy Suites By Hilton,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
199,253,258,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,"Curio, A Collection by Hilton","Curio, A Collection By Hilton",n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,0%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,"Curio, A Collection By Hilton",17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
200,253,259,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,Hilton Garden Inn,Hilton Garden Inn,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,37%,58%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,Hilton Garden Inn,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
201,253,260,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,Hampton by Hilton,Hampton By Hilton,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,0%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,Hampton By Hilton,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
202,253,261,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,Homewood Suites by Hilton,Homewood Suites by Hilton,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,0%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,Homewood Suites by Hilton,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
203,253,262,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,Home2 Suites by Hilton,Home2 Suites by Hilton,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,52%,78%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,Home2 Suites by Hilton,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
204,253,263,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,Tru by Hilton,Tru by Hilton,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,52%,78%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,Tru by Hilton,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
205,253,264,US43300A2033,Hotels,Hotel - Midscale,HILTON WORLDWIDE HDG.,Canopy by Hilton,Canopy by Hilton,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,0%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,75%,Hotels,Hotel - Midscale,Canopy by Hilton,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
206,253,265,US43300A2033,Hotels,Hotel - Destination/Vacation,HILTON WORLDWIDE HDG.,Hilton Grand Vacations,Hilton Grand Vacations,n,56%,31%,0%,0%,85%,45%,39%,56%,80%,64%,67%,49%,7%,100%,70%,89%,79%,88%,73%,25%,91%,77%,0%,0%,77%,80%,Hotels,Hotel - Destination/Vacation,Hilton Grand Vacations,17%,35%,0%,61%,27%,49%,57%,69%,60%,45%,90%
207,253,266,US9858171054,Media Agencies/Food Delivery,Food Delivery Service,YELP,Eat 24,Eat24,n,39%,0%,0%,0%,58%,34%,9%,100%,96%,65%,90%,85%,6%,100%,0%,89%,94%,13%,20%,0%,0%,0%,0%,25%,50%,55%,Media Agencies/Food Delivery,Food Delivery Service,Eat24,0%,0%,0%,0%,0%,0%,0%,0%,0%,45%,9%
208,577,578,CA68272K1030,Divers. Industrials,Grocery,ONEX CORPORATION,SAVE A LOT,Save-A-Lot,n,33%,0%,0%,0%,43%,41%,21%,100%,5%,0%,50%,0%,4%,0%,50%,86%,70%,13%,20%,0%,0%,20%,0%,0%,0%,70%,Divers. Industrials,Grocery,Save-A-Lot,0%,0%,0%,0%,0%,0%,0%,69%,4%,50%,9%
209,499,500,US03852U1060,Restaurants & Bars,Food - Uncategorized,ARAMARK,ARAMARK,Aramark,n,37%,39%,0%,0%,67%,34%,9%,69%,0%,59%,56%,49%,7%,100%,90%,84%,0%,13%,20%,0%,0%,58%,0%,63%,0%,55%,Restaurants & Bars,Food - Uncategorized,Aramark,3%,61%,0%,20%,3%,2%,0%,100%,4%,35%,48%
210,0,609,US0942351083,Restaurants & Bars,Food - Casual Dining,BLOOMIN BRANDS,BLOOMIN BRANDS,Bloomin Brands,n,28%,1%,72%,0%,91%,33%,9%,70%,76%,0%,44%,0%,4%,65%,40%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Bloomin Brands,3%,0%,0%,0%,3%,0%,0%,46%,4%,35%,0%
211,0,0,US1198481095,Restaurants & Bars,Food - Casual Dining,BUFFALO WILD WINGS,BUFFALO WILD WINGS,Buffalo Wild Wings,n,15%,0%,0%,0%,53%,34%,9%,0%,0%,47%,53%,33%,4%,0%,70%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Buffalo Wild Wings,0%,0%,0%,0%,0%,0%,0%,46%,4%,35%,0%
212,0,610,CA01626P4033,Specialty Retailers,Dollar Store,ALIMENTATION COUCHE TARD MTPL.VTG.SHS.'A' (used to be owned by CST Brands),CORNER STORE (CST BRANDS),Corner Store (Cst Brands),n,29%,44%,0%,0%,2%,19%,1%,0%,0%,0%,0%,49%,24%,0%,0%,83%,81%,32%,20%,0%,0%,20%,0%,0%,0%,80%,Specialty Retailers,Dollar Store,Corner Store (Cst Brands),55%,0%,0%,20%,35%,61%,10%,0%,0%,40%,35%
213,0,0,US17243V1026,Recreational Services,Movie Theater,CINEMARK HOLDINGS,CINEMARK HOLDINGS,Cinemark,n,33%,3%,0%,0%,67%,34%,9%,62%,80%,54%,41%,0%,6%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,80%,Recreational Services,Movie Theater,Cinemark,3%,0%,0%,20%,0%,2%,10%,0%,4%,50%,2%
214,0,0,US1746101054,Banks,Financial Institution,CITIZENS BANK,CITIZENS BANK,Citizens Bank,n,43%,28%,0%,0%,58%,34%,9%,85%,85%,0%,48%,100%,5%,0%,0%,88%,92%,13%,48%,0%,90%,35%,0%,18%,30%,50%,Banks,Financial Institution,Citizens Bank,3%,73%,0%,20%,0%,2%,0%,0%,4%,50%,39%
215,0,444,US22410J1060,Restaurants & Bars,Food - Casual Dining,CRACKER BARREL,CRACKER BARREL,Cracker Barrel,n,37%,14%,0%,0%,73%,34%,9%,66%,74%,45%,43%,0%,8%,60%,100%,71%,89%,13%,20%,0%,93%,27%,33%,0%,39%,60%,Restaurants & Bars,Food - Casual Dining,Cracker Barrel,3%,0%,0%,20%,3%,0%,0%,100%,4%,35%,34%
216,0,611,US30224P2002,Hotels,Hotel - Budget,EXTENDEDSTAY,EXTENDEDSTAY,Extendedstay,n,36%,36%,0%,0%,33%,34%,9%,0%,81%,0%,37%,78%,6%,0%,20%,68%,68%,48%,20%,0%,0%,31%,0%,0%,0%,75%,Hotels,Hotel - Budget,Extendedstay,3%,50%,0%,0%,3%,0%,0%,0%,4%,45%,44%
217,0,0,US33829M1018,Specialty Retailers,Dollar Store,FIVE BELOW,FIVE BELOW,Five Below,n,20%,0%,0%,0%,53%,34%,9%,0%,78%,48%,40%,49%,5%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,80%,Specialty Retailers,Dollar Store,Five Below,0%,0%,0%,0%,0%,0%,0%,0%,4%,40%,0%
218,0,655,US4663671091,Restaurants & Bars,Food - Fast Food,JACK IN THE BOX,JACK IN THE BOX,Jack in the Box,n,33%,0%,0%,0%,73%,34%,9%,84%,84%,58%,33%,58%,7%,0%,70%,0%,0%,13%,20%,0%,84%,20%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,Jack in the Box,0%,0%,0%,0%,0%,0%,0%,69%,4%,35%,0%
219,0,612,US59408Q1067,Specialty Retailers,Home Furniture & Equipment,MICHAELS,MICHAELS,Michaels,n,15%,5%,0%,0%,2%,19%,1%,0%,0%,46%,38%,54%,4%,0%,60%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,65%,Specialty Retailers,Home Furniture & Equipment,Michaels,3%,0%,0%,77%,0%,0%,0%,0%,4%,35%,17%
220,0,0,US6988131024,Restaurants & Bars,Food - Casual Dining,PAPA JOHNS,PAPA JOHNS,Papa John's,n,40%,4%,0%,100%,91%,34%,21%,81%,78%,47%,34%,54%,8%,0%,60%,68%,78%,13%,20%,25%,92%,65%,0%,22%,42%,60%,Restaurants & Bars,Food - Casual Dining,Papa John's,3%,0%,0%,30%,8%,0%,0%,15%,4%,35%,17%
222,0,613,US72703H1014,Recreational Services,Health Club,PLANET FITNESS,PLANET FITNESS,Planet Fitness,n,23%,2%,0%,0%,73%,34%,9%,0%,0%,0%,16%,58%,6%,0%,0%,90%,98%,13%,20%,0%,0%,20%,0%,0%,0%,90%,Recreational Services,Health Club,Planet Fitness,0%,0%,0%,0%,0%,0%,0%,46%,4%,60%,9%
223,0,594,US73754Y1001,Restaurants & Bars,Food - Casual Dining,POTBELLY,POTBELLY,Potbelly Sandwich Works,n,27%,3%,0%,0%,73%,34%,9%,100%,77%,46%,37%,71%,7%,0%,90%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Potbelly Sandwich Works,3%,0%,0%,20%,3%,2%,0%,77%,4%,35%,1%
224,0,614,US85208M1027,"Food Retail,Wholesale",Grocery,SPROUT FARMERS MARKET,SPROUT FARMERS MARKET,Sprouts Farmers Market,n,35%,43%,0%,0%,58%,34%,9%,0%,77%,46%,0%,71%,18%,0%,0%,98%,0%,13%,20%,0%,0%,20%,0%,0%,54%,70%,"Food Retail,Wholesale",Grocery,Sprouts Farmers Market,53%,0%,0%,73%,3%,2%,0%,0%,0%,50%,55%
225,519,520,NL0011794037,"Food Retail,Wholesale",Gas Stations,KONINKLIJKE AHOLD DELHAIZE,AHOLD DELHAIZE,Ahold Kon.,n,55%,42%,0%,0%,46%,57%,73%,84%,74%,0%,57%,0%,10%,100%,90%,94%,0%,73%,20%,0%,0%,87%,0%,0%,0%,25%,"Food Retail,Wholesale",Gas Stations,Ahold Kon.,61%,0%,0%,86%,46%,74%,39%,100%,4%,2%,73%
226,0,0,US68243Q1067,Specialty Retailers,Florist,1-800-FLOWERS.COM,1-800-FLOWERS.COM,1 800 Flowers.Com,n,23%,4%,100%,0%,67%,34%,9%,0%,83%,60%,0%,63%,5%,0%,0%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,65%,Specialty Retailers,Florist,1 800 Flowers.Com,3%,0%,0%,20%,3%,0%,0%,0%,0%,45%,0%
227,0,0,US0025353006,Spec.Consumer Service,Home Furniture & Equipment,AARON'S,AARON'S,Aaron's,n,28%,2%,0%,0%,2%,19%,1%,99%,0%,53%,55%,67%,4%,0%,0%,70%,60%,0%,20%,0%,0%,20%,0%,0%,0%,65%,Spec.Consumer Service,Home Furniture & Equipment,Aaron's,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,9%
228,0,620,US0028962076,Apparel Retailers,Apparel,Abercrombie & Fitch,Abercrombie & Fitch,Abercrombie & Fitch,n,46%,7%,100%,0%,73%,34%,22%,92%,78%,63%,21%,54%,7%,100%,70%,84%,0%,13%,20%,0%,86%,20%,0%,0%,0%,60%,Apparel Retailers,Apparel,Abercrombie & Fitch,3%,0%,0%,30%,3%,8%,10%,69%,4%,25%,15%
229,0,410,US00507V1098,Toys,Gaming,ACTIVISION BLIZZARD,BLIZZARD ENTERTAINMENT,Blizzard Entertainment,n,35%,3%,0%,100%,33%,44%,9%,22%,96%,78%,93%,88%,6%,0%,60%,0%,0%,80%,20%,0%,0%,20%,0%,0%,0%,70%,Toys,Gaming,Blizzard Entertainment,3%,0%,0%,20%,0%,0%,0%,54%,4%,45%,2%
230,671,672,DE000A1EWWW0,Footwear,Apparel - Athletic,Adidas AG,Adidas,Adidas,n,67%,68%,0%,0%,65%,88%,70%,100%,0%,79%,59%,63%,29%,100%,90%,92%,76%,30%,25%,25%,93%,40%,0%,0%,0%,60%,Footwear,Apparel - Athletic,Adidas,89%,74%,0%,20%,56%,94%,10%,100%,60%,30%,78%
231,522,523,US00724F1012,Software,Online Service,ADOBE SYSTEMS,ADOBE SYSTEMS,Adobe Systems,n,68%,77%,0%,43%,54%,85%,39%,37%,96%,85%,100%,100%,98%,100%,90%,74%,66%,100%,20%,0%,0%,96%,0%,0%,46%,80%,Software,Online Service,Adobe Systems,72%,77%,0%,100%,60%,71%,77%,100%,4%,70%,93%
233,0,0,US00215Q1031,Apparel Retailers,Apparel,ARO LIQUIDATION,Aeropostale,Aéropostale,n,27%,0%,0%,0%,63%,37%,19%,89%,0%,52%,38%,54%,4%,0%,40%,0%,0%,13%,20%,0%,0%,40%,0%,0%,0%,60%,Apparel Retailers,Apparel,Aéropostale,0%,0%,0%,0%,0%,0%,0%,0%,4%,25%,3%
234,0,411,US00817Y1082,Healthcare Providers,Insurance - Health & Life,AETNA,AETNA,Aetna,n,42%,11%,0%,0%,78%,96%,9%,78%,0%,78%,74%,100%,7%,100%,90%,60%,0%,63%,55%,0%,85%,40%,18%,0%,38%,80%,Healthcare Providers,Insurance - Health & Life,Aetna,13%,0%,0%,30%,8%,4%,10%,100%,4%,70%,25%
235,0,538,US0010551028,Life Insurance,Insurance - Health & Life,AFLAC,AFLAC,Aflac,n,59%,44%,0%,0%,66%,96%,57%,70%,80%,72%,54%,100%,9%,85%,70%,76%,98%,100%,20%,0%,0%,47%,0%,31%,51%,80%,Life Insurance,Insurance - Health & Life,Aflac,20%,0%,0%,30%,5%,8%,10%,69%,20%,70%,48%
236,0,565,NL0011794037,"Food Retail,Wholesale",Grocery,AHOLD DELHAIZE,BFRESH,bfresh,n,55%,42%,0%,0%,46%,57%,73%,84%,74%,62%,57%,0%,10%,100%,90%,94%,0%,73%,20%,0%,0%,87%,0%,0%,0%,70%,"Food Retail,Wholesale",Grocery,bfresh,61%,0%,0%,86%,46%,74%,39%,100%,4%,50%,73%
237,197,199,NL0011794037,"Food Retail,Wholesale",Grocery,AHOLD DELHAIZE,FOOD LION,Food Lion,n,55%,42%,0%,0%,46%,57%,73%,84%,74%,62%,51%,49%,10%,100%,90%,94%,0%,73%,20%,0%,0%,87%,0%,0%,0%,70%,"Food Retail,Wholesale",Grocery,Food Lion,61%,0%,0%,86%,46%,74%,39%,100%,4%,50%,73%
238,197,200,NL0011794037,"Food Retail,Wholesale",Grocery,AHOLD DELHAIZE,GIANT,Giant,n,55%,42%,0%,0%,46%,57%,73%,84%,74%,62%,57%,0%,10%,100%,90%,94%,0%,73%,20%,0%,0%,87%,0%,0%,0%,70%,"Food Retail,Wholesale",Grocery,Giant,61%,0%,0%,86%,46%,74%,39%,100%,4%,50%,73%
239,197,201,NL0011794037,"Food Retail,Wholesale",Grocery - Local,AHOLD DELHAIZE,HANNAFORD,Hannaford,n,55%,42%,0%,0%,46%,57%,73%,84%,74%,62%,57%,58%,10%,100%,90%,94%,0%,73%,20%,0%,0%,87%,0%,0%,0%,75%,"Food Retail,Wholesale",Grocery - Local,Hannaford,61%,0%,0%,86%,46%,74%,39%,100%,4%,55%,73%
240,197,202,NL0011794037,"Food Retail,Wholesale",Grocery - Local,AHOLD DELHAIZE,MARTIN'S,Martin's,n,55%,42%,0%,0%,46%,57%,73%,84%,74%,62%,57%,0%,10%,100%,90%,94%,0%,73%,20%,0%,0%,87%,0%,0%,0%,75%,"Food Retail,Wholesale",Grocery - Local,Martin's,61%,0%,0%,86%,46%,74%,39%,100%,4%,55%,73%
241,197,203,NL0011794037,"Food Retail,Wholesale",Grocery,AHOLD DELHAIZE,PEAPOD,Peapod,n,55%,42%,0%,0%,46%,57%,73%,84%,74%,62%,57%,0%,10%,100%,90%,94%,0%,73%,20%,0%,0%,87%,0%,0%,0%,70%,"Food Retail,Wholesale",Grocery,Peapod,61%,0%,0%,86%,46%,74%,39%,100%,4%,50%,73%
242,197,204,NL0011794037,"Food Retail,Wholesale",Grocery,AHOLD DELHAIZE,STOP & SHOP,Stop & Shop,n,55%,42%,0%,0%,46%,57%,73%,84%,74%,62%,73%,63%,10%,100%,90%,94%,0%,73%,20%,0%,0%,87%,0%,0%,0%,70%,"Food Retail,Wholesale",Grocery,Stop & Shop,61%,0%,0%,86%,46%,74%,39%,100%,4%,50%,73%
243,197,205,CA0089118776,Airlines,"Airlines - International, North America",Air Canada,Air Canada,Air Canada,n,53%,34%,0%,0%,58%,91%,53%,99%,76%,60%,79%,0%,56%,0%,90%,89%,95%,67%,25%,25%,0%,40%,0%,18%,33%,65%,Airlines,"Airlines - International, North America",Air Canada,38%,34%,0%,81%,8%,59%,40%,100%,20%,35%,84%
244,0,382,FR0000031122,Airlines,"Airlines - International, Europe",Air France-KLM,Air France-KLM,Air France-KLM,n,55%,38%,0%,0%,82%,89%,83%,100%,5%,0%,83%,0%,33%,0%,60%,91%,59%,16%,68%,100%,0%,100%,0%,0%,0%,65%,Airlines,"Airlines - International, Europe",Air France-KLM,28%,35%,0%,30%,59%,59%,52%,100%,60%,35%,86%
245,0,383,US0116421050,Specialty Retailers,Electronics,Alarm.com,Alarm.com,Alarm.Com,n,34%,0%,42%,0%,7%,33%,9%,83%,93%,71%,41%,0%,4%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,75%,Specialty Retailers,Electronics,Alarm.Com,0%,0%,0%,0%,0%,0%,0%,0%,4%,45%,1%
246,0,0,US0116591092,Airlines,"Airlines - Regional, West Coast",ALASKA AIR GROUP,ALASKA AIR,Alaska Air,n,44%,24%,0%,69%,85%,45%,21%,100%,86%,81%,87%,100%,10%,100%,30%,0%,0%,48%,20%,25%,88%,68%,0%,0%,0%,65%,Airlines,"Airlines - Regional, West Coast",Alaska Air,23%,37%,0%,80%,46%,43%,18%,15%,4%,35%,64%
